customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
2128,7,35177,56098,65106,25,767,1
2129,1,46017,62921,73932,29,690,1
2130,1,1784,7486,37100,11,653,0
2131,9,28751,10335,77091,24,759,0
2132,9,41864,13130,41949,16,660,0
2133,4,41328,62566,90080,12,653,1
2134,9,13533,68703,57744,19,720,1
2135,3,41111,29192,65543,24,682,0
2136,7,40974,3062,128319,3,842,0
2137,6,6801,23545,112193,9,676,0
2138,8,20190,23689,56187,2,655,0
2139,9,39754,13174,132734,8,641,1
2140,5,30592,11348,27239,12,836,0
2141,1,11647,25714,144454,17,600,1
2142,3,9716,40102,34489,14,578,1
2143,8,24355,76460,134937,3,845,1
2144,6,23009,8801,78017,14,846,0
2145,8,25376,74267,81877,21,763,1
2146,9,46091,50136,63125,1,816,1
2147,4,5780,25625,69922,14,806,0
2148,1,3368,74592,114074,7,650,1
2149,1,13039,79052,52049,7,659,1
2150,4,7655,46261,57131,16,731,0
2151,7,41941,3542,62944,11,550,1
2152,2,5495,23677,135765,18,604,1
2153,3,11893,48732,93963,9,698,0
2154,1,26547,52343,126884,8,686,1
2155,5,23386,41081,145917,4,751,0
2156,1,14403,64856,44285,5,666,1
2157,8,33097,21065,57626,19,703,0
2158,1,14121,56693,62808,25,840,1
2159,1,11966,28962,108464,1,612,1
2160,2,34621,30295,73871,26,793,0
2161,2,29312,15807,39198,23,574,1
2162,6,23677,44348,39758,26,639,1
2163,7,32289,28432,35254,12,624,1
2164,5,32024,59854,64238,5,843,1
2165,1,43675,42262,21252,4,759,0
2166,1,5777,39080,59764,24,566,1
2167,3,30749,3324,97709,0,677,0
2168,2,16338,37909,57441,20,800,0
2169,5,3491,21870,112234,21,728,0
2170,6,28236,36578,73682,20,731,0
2171,7,49096,74124,79494,5,701,1
2172,4,15599,28790,101317,5,574,1
2173,7,20508,27289,85215,22,729,0
2174,8,4051,57129,98587,15,747,1
2175,1,49747,17485,125185,3,710,0
2176,6,22606,46482,26949,29,726,0
2177,8,22699,6748,127825,10,834,0
2178,5,1876,11435,75393,29,612,1
2179,4,33093,5709,93553,29,699,0
2180,2,5142,32355,26941,29,703,0
2181,6,16202,57771,45934,23,705,1
2182,6,40734,59799,43386,22,598,1
2183,1,8079,15116,145362,8,633,1
2184,9,8987,27470,81886,22,726,0
2185,6,40567,44344,95745,2,697,0
2186,3,29940,44918,103251,18,667,0
2187,4,38233,54224,114456,7,612,1
2188,4,18019,41298,73413,4,738,0
2189,3,47185,63629,76800,3,598,1
2190,3,19077,68040,117239,23,806,1
2191,3,27258,30016,62318,5,773,0
2192,4,22136,25960,139803,1,690,0
2193,7,9311,35591,90173,19,764,0
2194,4,18214,69641,90390,27,760,1
2195,9,15098,38395,72329,10,581,1
2196,1,29251,24700,142418,3,707,0
2197,8,38945,36620,63088,14,834,0
2198,7,48030,22559,136868,5,835,0
2199,2,26945,63642,123196,21,693,1
2200,8,26316,78539,59811,16,568,1
